priority,category,reason,condition,question_id,turn_index,unit_id,generated_action,match_strength,primary_hop_id,primary_gold_call,primary_score,best_candidate_hop_id,best_candidate_gold_call,best_candidate_score,schema_valid,schema_error,best_candidate_reason
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_explicit,multi_turn_base_55,2,u1,"1. create_ticket(ticketTitle=""Tire Pressure Issue"", description=""Urgent tire pressure issue"", priorityScore=1)",partial,h7,"create_ticket({""title"": ""Tire Pressure Issue"", ""description"": ""Urgent tire pressure issue."", ""priority"": 5})",160,h7,"create_ticket({""title"": ""Tire Pressure Issue"", ""description"": ""Urgent tire pressure issue."", ""priority"": 5})",160,False,"missing_required: title; unknown_parameters: priorityScore, ticketTitle","exact_tool_name;parameter_overlap:description;argument_overlap:description,issue,pressure,priority,tire,tire pressure issue,urgent;schema_invalid"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_explicit,multi_turn_base_55,4,u2,"2. update_ticket(ticket_id=2, description='Issue resolved!')",wrong,,,,h9,"resolve_ticket({""ticket_id"": 2, ""resolution"": ""Issue resolved!""})",50,False,missing_tool_schema,"parameter_overlap:ticket_id;argument_overlap:issue,issue resolved!,resolved,ticket_id;schema_invalid"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_explicit,multi_turn_base_62,0,u3,"3. calculate_distance(city1=$1.zipcode, city2=$2.zipcode)",wrong,,,,h1,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",0,False,missing_tool_schema,schema_invalid;unresolved_input
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_explicit,multi_turn_base_62,0,u4,"4. send_message(receiver=Bob, message=""The distance from Rivermist to Stonebrook is $3.distance km."")",partial,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,False,"syntax_error: invalid syntax. Perhaps you forgot a comma?; missing_required: message, receiver_id","exact_tool_name;argument_overlap:distance,km.,message,rivermist,stonebrook;schema_invalid;unresolved_input"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_explicit,multi_turn_base_62,1,u1,"1. lockDoors(unlock=True, door=[""driver"", ""passenger"", ""rear_left"", ""rear_right""])",wrong,,,,h5,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,True,,"exact_tool_name;parameter_overlap:door,unlock;argument_overlap:door,driver,lockdoors,passenger,rear_left,rear_right,unlock;schema_valid"
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_explicit,multi_turn_base_62,1,u2,"2. lockDoors(unlock=True, door=[""driver"", ""passenger"", ""rear_left"", ""rear_right""])",exact,h5,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,h5,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,True,,"exact_tool_name;parameter_overlap:door,unlock;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_valid"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_explicit,multi_turn_base_62,2,u1,1. startEngine(ignitionMode='STOP'),wrong,,,,h7,"startEngine({""ignitionMode"": ""START""})",135,True,,"exact_tool_name;parameter_overlap:ignitionMode;argument_overlap:ignitionmode,start;schema_valid"
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_explicit,multi_turn_base_70,0,u1,"1. fillFuelTank(param={""fuelAmount"": 38})",partial,h2,"fillFuelTank({""fuelAmount"": 10})",110,h2,"fillFuelTank({""fuelAmount"": 10})",110,False,missing_required: fuelAmount; unknown_parameters: param,exact_tool_name;argument_overlap:fuelamount;schema_invalid
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_explicit,multi_turn_base_70,0,u2,"2. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_invalid"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_explicit,multi_turn_base_86,0,u1,"1. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",wrong,,,,h1,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_invalid"
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_explicit,multi_turn_base_86,0,u2,"2. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h1,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h1,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_invalid"
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_explicit,multi_turn_base_87,2,u1,"1. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_invalid"
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_explicit,multi_turn_base_88,1,u1,"1. fillFuelTank(param={""fuelAmount"": 49.967411999999996})",partial,h2,"fillFuelTank({""fuelAmount"": 36.8})",110,h2,"fillFuelTank({""fuelAmount"": 36.8})",110,False,missing_required: fuelAmount; unknown_parameters: param,exact_tool_name;argument_overlap:fuelamount;schema_invalid
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_explicit,multi_turn_base_88,1,u3,"3. lockDoors(param={""unlock"": True, ""door"": ""all""})",partial,h3,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",120,h3,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",120,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,unlock;schema_invalid"
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_explicit,multi_turn_base_97,0,u1,"1. estimate_distance(arg={""city1"": ""Rivermist"", ""city2"": ""Stonebrook""})",partial,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",110,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",110,False,"missing_required: cityA, cityB; unknown_parameters: arg",exact_tool_name;argument_overlap:estimate_distance;schema_invalid
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_flat,multi_turn_base_143,1,u1,1. get_order_details(order_id=<specific_order_id>),partial,h2,"get_order_details({""order_id"": 12446})",130,h2,"get_order_details({""order_id"": 12446})",130,False,syntax_error: invalid syntax; missing_required: order_id,"exact_tool_name;parameter_overlap:order_id;argument_overlap:get_order_details,order_id;schema_invalid;unresolved_input"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_flat,multi_turn_base_143,3,u2,"2. notify_advisor(user_id=""USR003"", message=""My strategy is shifting due to recent market movements and the cancellation of a specific order. Current balance in my account is $10000."")",wrong,,,,h6,"send_message({""receiver_id"": ""USR003"", ""message"": ""My strategy is shifting due to recent market movements and the cancellation of a specific order. Current balance in my account is $10000.""})",50,False,missing_tool_schema,"argument_overlap:account,balance,cancellation,due,market,message,movements,my;schema_invalid;unresolved_input"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_flat,multi_turn_base_35,2,u3,3. cat(file_name='diff.txt'),wrong,,,,h5,"diff({""file_name1"": ""config.py"", ""file_name2"": ""real_config.py""})",85,True,,function_mention;schema_valid
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_flat,multi_turn_base_39,2,u2,2. ls(file_name='styles.css'),wrong,,,,h9,ls({}),100,False,unknown_parameters: file_name,exact_tool_name;schema_invalid
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_flat,multi_turn_base_55,0,u1,1. checkFuelLevel(),wrong,,,,h1,"displayCarStatus({""_arg0"": ""fuel""})",10,False,missing_tool_schema,argument_overlap:fuel;schema_invalid
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_flat,multi_turn_base_55,0,u2,"3. fillFuelTank(arg={""fuelAmount"": 10})",wrong,,,,h2,"fillFuelTank({""_arg0"": 15.0})",100,False,missing_required: fuelAmount; unknown_parameters: arg,exact_tool_name;schema_invalid
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_flat,multi_turn_base_55,0,u3,"4. fillFuelTank(arg={""fuelAmount"": 10})",partial,h2,"fillFuelTank({""_arg0"": 15.0})",100,h2,"fillFuelTank({""_arg0"": 15.0})",100,False,missing_required: fuelAmount; unknown_parameters: arg,exact_tool_name;schema_invalid
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_flat,multi_turn_base_55,0,u4,"5. startEngine(arg={""ignitionMode"": ""START""})",wrong,,,,h5,"startEngine({""ignitionMode"": ""START""})",120,False,missing_required: ignitionMode; unknown_parameters: arg,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_flat,multi_turn_base_55,3,u1,1. fetch_ticket(ticket_id=2),wrong,,,,h8,"get_ticket({""ticket_id"": 2})",20,False,missing_tool_schema,parameter_overlap:ticket_id;argument_overlap:ticket_id;schema_invalid
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_flat,multi_turn_base_55,4,u1,"1. update_ticket(ticket_id=2, status='Resolved', description='Issue resolved!')",wrong,,,,h9,"resolve_ticket({""ticket_id"": 2, ""resolution"": ""Issue resolved!""})",50,False,missing_tool_schema,"parameter_overlap:ticket_id;argument_overlap:issue,issue resolved!,resolved,ticket_id;schema_invalid"
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_flat,multi_turn_base_56,2,u1,"1. lockDoors(unlock=True, door={[""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",exact,h6,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,h6,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,True,,"exact_tool_name;parameter_overlap:door,unlock;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_valid"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_flat,multi_turn_base_62,0,u3,"3. calculate_distance(city1=<zipcode for Rivermist>, city2=<zipcode for Stonebrook>)",wrong,,,,h1,"get_zipcode_based_on_city({""_arg0"": ""Rivermist""})",0,False,missing_tool_schema,schema_invalid;unresolved_input
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_flat,multi_turn_base_62,0,u4,"4. send_message(receiver=Bob, message=""The distance from Rivermist to Stonebrook is <distance> km."", distance=""<distance from Rivermist to Stonebrook>"")",partial,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,h4,"send_message({""receiver_id"": ""USR002"", ""message"": ""The distance from Rivermist to Stonebrook is 750.0 km.""})",150,False,"missing_required: receiver_id; unknown_parameters: distance, receiver","exact_tool_name;argument_overlap:distance,km.,message,rivermist,stonebrook;schema_invalid;unresolved_input"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_flat,multi_turn_base_62,1,u1,"1. lockDoors(door=[""driver"", ""passenger"", ""rear_left"", ""rear_right""])",wrong,,,,h5,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",160,False,missing_required: unlock,"exact_tool_name;parameter_overlap:door;argument_overlap:door,driver,lockdoors,passenger,rear_left,rear_right;schema_invalid"
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_flat,multi_turn_base_62,1,u2,"2. lockDoors(unlock=True, door=[""driver"", ""passenger"", ""rear_left"", ""rear_right""])",exact,h5,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,h5,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,True,,"exact_tool_name;parameter_overlap:door,unlock;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_valid"
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_flat,multi_turn_base_70,0,u1,"1. fillFuelTank(arg={""fuelAmount"": 38})",partial,h2,"fillFuelTank({""fuelAmount"": 10})",120,h2,"fillFuelTank({""fuelAmount"": 10})",120,False,missing_required: fuelAmount; unknown_parameters: arg,"exact_tool_name;argument_overlap:fillfueltank,fuelamount;schema_invalid"
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_flat,multi_turn_base_71,0,u3,"3. estimate_distance({""city1"": ""<zipcode for Rivermist>"", ""city2"": ""<zipcode for Stonebrook>"")",partial,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",100,h3,"estimate_distance({""cityA"": ""83214"", ""cityB"": ""74532""})",100,False,"syntax_error: closing parenthesis ')' does not match opening parenthesis '{'; missing_required: cityA, cityB",exact_tool_name;schema_invalid;unresolved_input
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_flat,multi_turn_base_86,0,u1,"1. lockDoors(door=[""driver"", ""passenger"", ""rear_left"", ""rear_right""], unlock=True)",exact,h1,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,h1,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,True,,"exact_tool_name;parameter_overlap:door,unlock;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_valid"
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_flat,multi_turn_base_87,2,u1,"1. lockDoors(arg={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h4,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: arg","exact_tool_name;argument_overlap:door,driver,lockdoors,passenger,rear_left,rear_right,unlock;schema_invalid"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_flat,multi_turn_base_88,0,u3,3. gallon_to_liter(gallon=13.2),wrong,,,,h1,"gallon_to_liter({""gallon"": 13.2})",135,True,,"exact_tool_name;parameter_overlap:gallon;argument_overlap:13.2,gallon;schema_valid"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_flat,multi_turn_base_88,0,u5,5. gallon_to_liter(gallon=13.2),wrong,,,,h1,"gallon_to_liter({""gallon"": 13.2})",135,True,,"exact_tool_name;parameter_overlap:gallon;argument_overlap:13.2,gallon;schema_valid"
1,argument_value_conflict,같은 tool로 매칭됐지만 boolean/mode 값이 gold와 반대일 가능성,smoke_flat,multi_turn_base_88,1,u3,"3. lockDoors(unlock=True, door=[""driver"", ""passenger"", ""rear_left"", ""rear_right""])",exact,h3,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,h3,"lockDoors({""unlock"": false, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",175,True,,"exact_tool_name;parameter_overlap:door,unlock;argument_overlap:door,driver,passenger,rear_left,rear_right,unlock;schema_valid"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_flat,multi_turn_base_97,0,u3,"3. calculate_distance(arg={""city1"": ""<zipcode for Rivermist>"", ""city2"": ""<zipcode for Stonebrook>"")",wrong,,,,h1,"get_zipcode_based_on_city({""city"": ""Rivermist""})",0,False,missing_tool_schema,schema_invalid;unresolved_input
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_143,0,u1,"1. add_to_watchlist(arg={""symbol"": ""ZETA""})",partial,h1,"add_to_watchlist({""stock"": ""ZETA""})",130,h1,"add_to_watchlist({""stock"": ""ZETA""})",130,False,missing_required: stock; unknown_parameters: arg,"exact_tool_name;argument_overlap:add_to_watchlist,stock,zeta;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_151,0,u1,"1. get_flight_cost(arg={""travel_from"": ""San Francisco International"", ""travel_to"": ""Los Angeles"", ""travel_date"": ""2024-11-10"", ""travel_class"": ""business""})",partial,h1,"get_flight_cost({""travel_from"": ""SFO"", ""travel_to"": ""LAX"", ""travel_date"": ""2024-11-10"", ""travel_class"": ""business""})",150,h1,"get_flight_cost({""travel_from"": ""SFO"", ""travel_to"": ""LAX"", ""travel_date"": ""2024-11-10"", ""travel_class"": ""business""})",150,False,"missing_required: travel_class, travel_date, travel_from, travel_to; unknown_parameters: arg","exact_tool_name;argument_overlap:2024-11-10,business,travel_class,travel_date,travel_from,travel_to;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_151,2,u2,"2. post_tweet(hashtags=['TravelUpdate', 'BusinessTrip'], message='Just cancelled my trip to LA')",partial,h6,"post_tweet({""content"": ""Just cancelled my trip to LA"", ""tags"": [""#TravelUpdate"", ""#BusinessTrip""]})",150,h6,"post_tweet({""content"": ""Just cancelled my trip to LA"", ""tags"": [""#TravelUpdate"", ""#BusinessTrip""]})",150,False,"missing_required: content; unknown_parameters: hashtags, message","exact_tool_name;argument_overlap:businesstrip,cancelled,just,just cancelled my trip to la,la,my,travelupdate,trip;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_173,1,u2,"2. set_budget_limit(access_token='abc123xyz', budget_limit=10000, budget_currency='USD')",partial,h3,"set_budget_limit({""access_token"": ""abc123xyz"", ""budget_limit"": 10000.0})",150,h3,"set_budget_limit({""access_token"": ""abc123xyz"", ""budget_limit"": 10000.0})",150,False,unknown_parameters: budget_currency,"exact_tool_name;parameter_overlap:access_token,budget_limit;argument_overlap:abc123xyz,access_token,budget_limit;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_185,0,u1,"1. get_flight_cost(travel_from=""first airport"",travel_to=""second airport"",travel_date=""2024-12-15"")",partial,h2,"get_flight_cost({""travel_from"": ""RMS"", ""travel_to"": ""SBK"", ""travel_date"": ""2024-12-15"", ""travel_class"": ""business""})",170,h2,"get_flight_cost({""travel_from"": ""RMS"", ""travel_to"": ""SBK"", ""travel_date"": ""2024-12-15"", ""travel_class"": ""business""})",170,False,missing_required: travel_class,"exact_tool_name;parameter_overlap:travel_date,travel_from,travel_to;argument_overlap:2024-12-15,travel_date,travel_from,travel_to;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_185,1,u1,"1. purchase_insurance(access_token='12345-67890', booking_id='d184e2c0-2ebb-4f39-a525-d5e01b67dc6c', insurance_cost=300.0, card_id='0001')",partial,h4,"purchase_insurance({""access_token"": ""12345-67890"", ""insurance_type"": ""comprehensive"", ""booking_id"": ""d184e2c0-2ebb-4f39-a525-d5e01b67dc6c"", ""insurance_cost"": 300.0, ""card_id"": ""0001""})",180,h4,"purchase_insurance({""access_token"": ""12345-67890"", ""insurance_type"": ""comprehensive"", ""booking_id"": ""d184e2c0-2ebb-4f39-a525-d5e01b67dc6c"", ""insurance_cost"": 300.0, ""card_id"": ""0001""})",180,False,missing_required: insurance_type,"exact_tool_name;parameter_overlap:access_token,booking_id,card_id,insurance_cost;argument_overlap:0001,12345-67890,300.0,access_token,booking_id,card_id,d184e2c0-2ebb-4f39-a525-d5e01b67dc6c,insurance_cost;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_185,2,u1,1. retrieve_invoice(),partial,h5,"retrieve_invoice({""access_token"": ""12345-67890"", ""booking_id"": ""d184e2c0-2ebb-4f39-a525-d5e01b67dc6c""})",100,h5,"retrieve_invoice({""access_token"": ""12345-67890"", ""booking_id"": ""d184e2c0-2ebb-4f39-a525-d5e01b67dc6c""})",100,False,missing_required: access_token,exact_tool_name;schema_invalid
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_50,0,u1,"1. lockDoors(param={""unlock"": True, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",partial,h1,"lockDoors({""unlock"": true, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,h1,"lockDoors({""unlock"": true, ""door"": [""driver"", ""passenger"", ""rear_left"", ""rear_right""]})",150,False,"missing_required: door, unlock; unknown_parameters: param","exact_tool_name;argument_overlap:door,driver,lockdoors,passenger,rear_left,rear_right,unlock;schema_invalid"
2,schema_invalid_partial,"arg/param wrapper, positional args, parameter rename 등으로 schema-invalid지만 semantic match 가능",smoke_explicit,multi_turn_base_50,0,u2,"2. setHeadlights(param={""mode"": ""on""})",partial,h2,"setHeadlights({""mode"": ""on""})",110,h2,"setHeadlights({""mode"": ""on""})",110,False,missing_required: mode; unknown_parameters: param,exact_tool_name;argument_overlap:mode;schema_invalid
